./pthread_arena.elf 10 100 6 1	 
0x7f1c90000900 -1879045888 45
0x7f1c90001950 -1879041712 36
0x7f1c90001980 -1879041664 90
0x7f1c900019f0 -1879041552 23
0x7f1c90001a10 -1879041520 19
0x7f1c90001a30 -1879041488 4
0x7f1c90001950 -1879041712 85
0x7f1c900019b0 -1879041616 77
0x7f1c90001a10 -1879041520 39
0x7f1c90001a40 -1879041472 39
0x7f1c90001a70 -1879041424 23
0x7f1c90001a90 -1879041392 76
0x7f1c90001990 -1879041648 13
0x7f1c900019b0 -1879041616 90
0x7f1c90001a20 -1879041504 31
0x7f1c90001a50 -1879041456 70
0x7f1c90001aa0 -1879041376 59
0x7f1c90001af0 -1879041296 56
0x7f1c900019d0 -1879041584 0
0x7f1c900019f0 -1879041552 13
0x7f1c90001a10 -1879041520 20
0x7f1c90001a30 -1879041488 51
0x7f1c90001a70 -1879041424 43
0x7f1c90001ab0 -1879041360 99
0x7f1c90001a10 -1879041520 53
0x7f1c90001a50 -1879041456 41
0x7f1c90001a90 -1879041392 30
0x7f1c90001ac0 -1879041344 39
0x7f1c90001af0 -1879041296 37
0x7f1c90001b20 -1879041248 86
0x7f1c90001a50 -1879041456 39
0x7f1c90001a80 -1879041408 0
0x7f1c90001aa0 -1879041376 39
0x7f1c90001ad0 -1879041328 94
0x7f1c90001b40 -1879041216 27
0x7f1c90001b70 -1879041168 19
0x7f1c90001a90 -1879041392 96
0x7f1c90001b00 -1879041280 53
0x7f1c90001b40 -1879041216 38
0x7f1c90001b70 -1879041168 55
0x7f1c90001bb0 -1879041104 18
0x7f1c90001bd0 -1879041072 73
0x7f1c90001ad0 -1879041328 57
0x7f1c90001b20 -1879041248 2
0x7f1c90001b40 -1879041216 38
0x7f1c90001b70 -1879041168 42
0x7f1c90001bb0 -1879041104 91
0x7f1c90001c20 -1879040992 94
0x7f1c90001b10 -1879041264 14
0x7f1c90001b30 -1879041232 31
0x7f1c90001b60 -1879041184 15
0x7f1c90001b80 -1879041152 26
0x7f1c90001bb0 -1879041104 9
0x7f1c90001bd0 -1879041072 57
0x7f1c90001b50 -1879041200 98
0x7f1c90001bc0 -1879041088 51
0x7f1c90001c00 -1879041024 60
0x7f1c90001c50 -1879040944 61
0x7f1c90001ca0 -1879040864 59
0x7f1c90001cf0 -1879040784 50
