./pthread_arena.elf 10 100 6 1	 
0x7f30a0000900 -1610610432 49
0x7f30a0001950 -1610606256 90
0x7f30a00019c0 -1610606144 78
0x7f30a0001a20 -1610606048 25
0x7f30a0001a50 -1610606000 80
0x7f30a0001ab0 -1610605904 14
0x7f30a0001950 -1610606256 82
0x7f30a00019b0 -1610606160 17
0x7f30a00019d0 -1610606128 6
0x7f30a00019f0 -1610606096 85
0x7f30a0001a50 -1610606000 97
0x7f30a0001ac0 -1610605888 42
0x7f30a0001990 -1610606192 70
0x7f30a00019e0 -1610606112 23
0x7f30a0001a00 -1610606080 46
0x7f30a0001a40 -1610606016 89
0x7f30a0001ab0 -1610605904 56
0x7f30a0001af0 -1610605840 30
0x7f30a00019d0 -1610606128 94
0x7f30a0001a40 -1610606016 22
0x7f30a0001a60 -1610605984 10
0x7f30a0001a80 -1610605952 65
0x7f30a0001ad0 -1610605872 26
0x7f30a0001b00 -1610605824 76
0x7f30a0001a10 -1610606064 20
0x7f30a0001a30 -1610606032 43
0x7f30a0001a70 -1610605968 74
0x7f30a0001ad0 -1610605872 76
0x7f30a0001b30 -1610605776 76
0x7f30a0001b90 -1610605680 92
0x7f30a0001a50 -1610606000 12
0x7f30a0001a70 -1610605968 81
0x7f30a0001ad0 -1610605872 81
0x7f30a0001b30 -1610605776 25
0x7f30a0001b60 -1610605728 56
0x7f30a0001ba0 -1610605664 31
0x7f30a0001a90 -1610605936 83
0x7f30a0001af0 -1610605840 37
0x7f30a0001b20 -1610605792 73
0x7f30a0001b80 -1610605696 76
0x7f30a0001be0 -1610605600 66
0x7f30a0001c30 -1610605520 82
0x7f30a0001ad0 -1610605872 19
0x7f30a0001af0 -1610605840 77
0x7f30a0001b50 -1610605744 7
0x7f30a0001b70 -1610605712 23
0x7f30a0001b90 -1610605680 65
0x7f30a0001be0 -1610605600 22
0x7f30a0001b10 -1610605808 74
0x7f30a0001b70 -1610605712 16
0x7f30a0001b90 -1610605680 65
0x7f30a0001be0 -1610605600 7
0x7f30a0001c00 -1610605568 67
0x7f30a0001c50 -1610605488 71
0x7f30a0001b50 -1610605744 86
0x7f30a0001bb0 -1610605648 79
0x7f30a0001c10 -1610605552 70
0x7f30a0001c60 -1610605472 67
0x7f30a0001cb0 -1610605392 73
0x7f30a0001d10 -1610605296 67
