./pthread_arena.elf 10 100 6 1	 
0x7fe788000900 -2013263616 71
0x7fe788001960 -2013259424 62
0x7fe7880019b0 -2013259344 56
0x7fe7880019f0 -2013259280 29
0x7fe788001a20 -2013259232 5
0x7fe788001a40 -2013259200 93
0x7fe788001960 -2013259424 94
0x7fe7880019d0 -2013259312 31
0x7fe788001a00 -2013259264 31
0x7fe788001a30 -2013259216 74
0x7fe788001a90 -2013259120 10
0x7fe788001ab0 -2013259088 0
0x7fe7880019a0 -2013259360 78
0x7fe788001a00 -2013259264 0
0x7fe788001a20 -2013259232 32
0x7fe788001a50 -2013259184 45
0x7fe788001a90 -2013259120 83
0x7fe788001af0 -2013259024 0
0x7fe7880019e0 -2013259296 81
0x7fe788001a40 -2013259200 59
0x7fe788001a90 -2013259120 7
0x7fe788001ab0 -2013259088 50
0x7fe788001af0 -2013259024 30
0x7fe788001b20 -2013258976 4
0x7fe788001a20 -2013259232 89
0x7fe788001a90 -2013259120 90
0x7fe788001b00 -2013259008 52
0x7fe788001b40 -2013258944 12
0x7fe788001b60 -2013258912 27
0x7fe788001b90 -2013258864 85
0x7fe788001a60 -2013259168 46
0x7fe788001aa0 -2013259104 34
0x7fe788001ad0 -2013259056 25
0x7fe788001b00 -2013259008 73
0x7fe788001b60 -2013258912 69
0x7fe788001bb0 -2013258832 90
0x7fe788001aa0 -2013259104 20
0x7fe788001ac0 -2013259072 80
0x7fe788001b20 -2013258976 55
0x7fe788001b60 -2013258912 51
0x7fe788001ba0 -2013258848 10
0x7fe788001bc0 -2013258816 42
0x7fe788001ae0 -2013259040 88
0x7fe788001b40 -2013258944 29
0x7fe788001b70 -2013258896 6
0x7fe788001b90 -2013258864 54
0x7fe788001bd0 -2013258800 20
0x7fe788001bf0 -2013258768 98
0x7fe788001b20 -2013258976 15
0x7fe788001b40 -2013258944 42
0x7fe788001b80 -2013258880 32
0x7fe788001bb0 -2013258832 34
0x7fe788001be0 -2013258784 34
0x7fe788001c10 -2013258736 95
0x7fe788001b60 -2013258912 97
0x7fe788001bd0 -2013258800 10
0x7fe788001bf0 -2013258768 9
0x7fe788001c10 -2013258736 71
0x7fe788001c60 -2013258656 99
0x7fe788001cd0 -2013258544 61
./pthread_arena.elf 10 100 6 1	 
0x7f8e14000900 335546624 15
0x7f8e14001930 335550768 65
0x7f8e14001980 335550848 40
0x7f8e140019b0 335550896 70
0x7f8e14001a00 335550976 41
0x7f8e14001a40 335551040 86
0x7f8e14001970 335550832 34
0x7f8e140019a0 335550880 32
0x7f8e140019d0 335550928 75
0x7f8e14001a30 335551024 60
0x7f8e14000900 335546624 2
0x7f8e14001a80 335551104 26
0x7f8e14000900 335546624 1
0x7f8e140019b0 335550896 75
0x7f8e14001a10 335550992 56
0x7f8e14001a50 335551056 34
0x7f8e14001a80 335551104 89
0x7f8e14001af0 335551216 15
0x7f8e140019f0 335550960 87
0x7f8e14001a50 335551056 78
0x7f8e14001ab0 335551152 32
0x7f8e14001ae0 335551200 86
0x7f8e14001b40 335551296 66
0x7f8e14001b90 335551376 52
0x7f8e14001a30 335551024 64
0x7f8e14001a80 335551104 99
0x7f8e14001af0 335551216 83
0x7f8e14001b50 335551312 59
0x7f8e14000900 335546624 3
0x7f8e14001ba0 335551392 98
0x7f8e14001a70 335551088 90
0x7f8e14001ae0 335551200 33
0x7f8e14001b10 335551248 33
0x7f8e14001b40 335551296 36
0x7f8e14001b70 335551344 94
0x7f8e14001be0 335551456 40
0x7f8e14001ab0 335551152 29
0x7f8e14000900 335546624 10
0x7f8e14001ae0 335551200 94
0x7f8e14001b50 335551312 73
0x7f8e14001bb0 335551408 61
0x7f8e14001c00 335551488 33
0x7f8e14001af0 335551216 49
0x7f8e14000900 335546624 17
0x7f8e14001b30 335551280 6
0x7f8e14001b50 335551312 62
0x7f8e14001ba0 335551392 66
0x7f8e14001bf0 335551472 81
0x7f8e14001b30 335551280 54
0x7f8e14001b70 335551344 36
0x7f8e14000900 335546624 6
0x7f8e14001ba0 335551392 1
0x7f8e14001bc0 335551424 39
0x7f8e14001bf0 335551472 51
0x7f8e14001b70 335551344 36
0x7f8e14001ba0 335551392 99
0x7f8e14001c10 335551504 64
0x7f8e14000900 335546624 3
0x7f8e14001c60 335551584 7
0x7f8e14001c80 335551616 5
./pthread_arena.elf 10 100 6 1	 
0x7f8634000900 872417536 62
0x7f8634001960 872421728 20
0x7f8634001980 872421760 13
0x7f86340019a0 872421792 55
0x7f86340019e0 872421856 38
0x7f8634001a10 872421904 85
0x7f8634001960 872421728 14
0x7f8634001980 872421760 85
0x7f86340019e0 872421856 37
0x7f8634001a10 872421904 96
0x7f8634001a80 872422016 15
0x7f8634001aa0 872422048 67
0x7f86340019a0 872421792 99
0x7f8634001a10 872421904 84
0x7f8634001a70 872422000 53
0x7f8634001ab0 872422064 27
0x7f8634001ae0 872422112 13
0x7f8634001b00 872422144 14
0x7f86340019e0 872421856 77
0x7f8634001a40 872421952 23
0x7f8634001a60 872421984 26
0x7f8634001a90 872422032 69
0x7f8634001ae0 872422112 74
0x7f8634001b40 872422208 90
0x7f8634001a20 872421920 55
0x7f8634001a60 872421984 63
0x7f8634001ab0 872422064 42
0x7f8634001af0 872422128 52
0x7f8634001b30 872422192 74
0x7f8634001b90 872422288 77
0x7f8634001a60 872421984 70
0x7f8634001ab0 872422064 4
0x7f8634001ad0 872422096 12
0x7f8634001af0 872422128 92
0x7f8634001b60 872422240 4
0x7f8634001b80 872422272 86
0x7f8634001aa0 872422048 99
0x7f8634001b10 872422160 4
0x7f8634001b30 872422192 65
0x7f8634001b80 872422272 24
0x7f8634001ba0 872422304 15
0x7f8634001bc0 872422336 96
0x7f8634001ae0 872422112 13
0x7f8634001b00 872422144 39
0x7f8634001b30 872422192 27
0x7f8634001b60 872422240 32
0x7f8634001b90 872422288 35
0x7f8634001bc0 872422336 65
0x7f8634001b20 872422176 58
0x7f8634001b70 872422256 68
0x7f8634001bc0 872422336 37
0x7f8634001bf0 872422384 61
0x7f8634001c40 872422464 38
0x7f8634001c70 872422512 76
0x7f8634001b60 872422240 71
0x7f8634001bb0 872422320 50
0x7f8634001bf0 872422384 31
0x7f8634001c20 872422432 29
0x7f8634001c50 872422480 98
0x7f8634001cc0 872422592 8
./pthread_arena.elf 10 100 6 1	 
0x7f52a0000900 -1610610432 14
0x7f52a0001930 -1610606288 30
0x7f52a0001960 -1610606240 0
0x7f52a0001980 -1610606208 65
0x7f52a00019d0 -1610606128 71
0x7f52a0001a20 -1610606048 55
0x7f52a0001970 -1610606224 41
0x7f52a00019b0 -1610606160 98
0x7f52a0000900 -1610610432 1
0x7f52a0001a20 -1610606048 53
0x7f52a0001a60 -1610605984 12
0x7f52a0001a80 -1610605952 7
0x7f52a00019b0 -1610606160 47
0x7f52a00019f0 -1610606096 76
0x7f52a0000900 -1610610432 8
0x7f52a0001a50 -1610606000 36
0x7f52a0001a80 -1610605952 58
0x7f52a0001ad0 -1610605872 48
0x7f52a00019f0 -1610606096 50
0x7f52a0000900 -1610610432 1
0x7f52a0001a30 -1610606032 2
0x7f52a0001a50 -1610606000 44
0x7f52a0001a90 -1610605936 23
0x7f52a0001ab0 -1610605904 2
0x7f52a0001a30 -1610606032 35
0x7f52a0001a60 -1610605984 47
0x7f52a0001aa0 -1610605920 97
0x7f52a0001b10 -1610605808 35
0x7f52a0001b40 -1610605760 73
0x7f52a0001ba0 -1610605664 84
0x7f52a0000900 -1610610432 13
0x7f52a0001a70 -1610605968 33
0x7f52a0001aa0 -1610605920 24
0x7f52a0001ac0 -1610605888 18
0x7f52a0001ae0 -1610605856 43
0x7f52a0001b20 -1610605792 82
0x7f52a0001ab0 -1610605904 99
0x7f52a0000900 -1610610432 23
0x7f52a0001b20 -1610605792 44
0x7f52a0001b60 -1610605728 28
0x7f52a0001b90 -1610605680 37
0x7f52a0001bc0 -1610605632 21
0x7f52a0001af0 -1610605840 96
0x7f52a0001b60 -1610605728 52
0x7f52a0001ba0 -1610605664 89
0x7f52a0001c10 -1610605552 32
0x7f52a0001c40 -1610605504 72
0x7f52a0001c90 -1610605424 56
0x7f52a0001b30 -1610605776 78
0x7f52a0001b90 -1610605680 34
0x7f52a0001bc0 -1610605632 51
0x7f52a0001c00 -1610605568 78
0x7f52a0000900 -1610610432 21
0x7f52a0001c60 -1610605472 18
0x7f52a0000900 -1610610432 9
0x7f52a0001b70 -1610605712 78
0x7f52a0001bd0 -1610605616 35
0x7f52a0001c00 -1610605568 5
0x7f52a0001c20 -1610605536 53
0x7f52a0001c60 -1610605472 0
./pthread_arena.elf 10 100 6 1	 
0x7f95d8000900 -671086336 97
0x7f95d8001980 -671082112 30
0x7f95d80019b0 -671082064 83
0x7f95d8001a10 -671081968 2
0x7f95d8001a30 -671081936 9
0x7f95d8001a50 -671081904 15
0x7f95d8000940 -671086272 25
0x7f95d8001980 -671082112 23
0x7f95d80019a0 -671082080 58
0x7f95d80019f0 -671082000 57
0x7f95d8001a40 -671081920 72
0x7f95d8001a90 -671081840 63
0x7f95d8000940 -671086272 28
0x7f95d80019c0 -671082048 76
0x7f95d8001a20 -671081952 55
0x7f95d8001a60 -671081888 0
0x7f95d8001a80 -671081856 29
0x7f95d8001ab0 -671081808 57
0x7f95d8001a00 -671081984 55
0x7f95d8001a40 -671081920 88
